Job_Title|Company_Name|Job_Location|Salary|Job_Description|Posting_Date|Company_Rating
Senior Data Analyst|Compass|Seattle, WA 98104 (Pioneer Square area)|Missing|Serve as a subject matter expert and escalation point on data quality issues reported by front-line customer and product support teams. |Today|Missing
Senior Data Analyst - Remote|Vera Whole Health|Seattle, WA 98101 (Downtown area)|Missing|Minimum 2 - 3 years of healthcare analytics {EMR and Healthcare claims data) experience. As Vera Whole Health's Senior Data Analyst, you will be successful if… |Today|3.4
Sr. Database Administrator|Deltek, Inc.|Herndon, VA 20171|Missing|Automate database management and maintenance activities. Perform proactive capacity analysis on database servers and stay ahead of capacity requirements. |Today|4.0
Principal Database Administrator|Deltek, Inc.|Herndon, VA 20171|Missing|Writing database scripts in SQL Server TSQL. 7 to 10 years of experience required as a database developer / DBA. The DBA candidate will be responsible for. |Today|4.0
Oracle Database Administrator|Stefanini, Inc|Richmond, VA|$125,000 - $130,000 a year|Assists in strategic planning and database architecture and design. Database security o Database design, database packages and structures. Must be a US Citizen. |Today|3.8
Senior Cloud Database Administrator (DBA)|Oracle|Arlington, VA 22201 (Lyon Village area)|Missing|The cloud architect will understand the end-to-end configuration, technical dependencies, and overall behavioral characteristics of production cloud database… |Today|3.8
Database Administrator-REMOTE|CCI Systems, Inc.|Charlottesville, VA 22902|Missing|We are seeking a Database Administrator to learn and understand current systems, architectures, integrations, and technologies and how they interact within the… |Today|3.3
Junior GIS Administrator|Syncadd Systems Inc.|Arlington, VA 22202 (Aurora Highlands area)|Missing|Candidate should have hands-on experience with Portal for ArcGIS administration. Support will include monitoring and maintenance of the portals. |Today|Missing
Database Analyst IV|Serco North America|Herndon, VA 20170|Missing|Write codes for database access, modifications, and constructions including stored procedures, functions and other database objects. |Today|3.5
Database Administrator|JCS Solutions LLC|Arlington, VA|Missing|Prepare activity and progress reports regarding the database management section. Strong database troubleshooting and performance tuning skills, especially in… |1 day ago|4.0
Technical DBA Architect|FAAZ Consulting|Ashburn, VA|Missing|The ideal candidate should have strong database background both of traditional database technologies as well as emerging cloud data platforms with hands on… |1 day ago|Missing
Oracle DBA (Top Secret Clearance Required)|Deloitte|Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)|Missing|As a Project Delivery Specialist II in the Strategy & Operations group you will: Apply best practices in functional areas related to Implementation and… |1 day ago|4.0
MS Access Database Administrator|Leidos|Reston, VA 20190 (Sunset Hills area)|Missing|Demonstrated experience developing database CONOPS. Demonstrated experience troubleshooting database issues. They will respond to database questions and issues… |2 days ago|3.7
Database Administrator|Valiant Integrated Services|Quantico, VA 22134|Missing|Monitor and manage database security. 2+ years of database administration experience is required. Perform remote installations, database maintenance activities,… |2 days ago|3.5
Oracle Database Administrator|SAIC|Arlington, VA 22202 (Aurora Highlands area)|Missing|Familiarity with database design and documentation. Perform Oracle database performance analysis and optimization, define bottlenecks and manage testing and… |2 days ago|4.0
Database Administrator|Quadrint, Inc.|Chantilly, VA 20151|Missing|Provide database administration support to the Systems Administrators including database upgrades, backups, user creation, and SSL connections. |2 days ago|Missing
SQL Server DBA/Data Warehouse Architect|9th networks Inc|North Chesterfield, VA|$91,890 - $112,310 a year|Must have experience managing SQL Server database backups and maintenance plans. A considerable knowledge of database management systems, query tools, data… |2 days ago|Missing
Billing Database Coordinator|Selfhelp|New York, NY|Missing|Job Summary: Administers and manages the day to day operations of the Austrian Holocaust Survivor Emergency Assistance Program. |Just posted|3.8
Senior Database Administrator (Remote)|Sandata Technologies|Port Washington, NY|Missing|10 years or more experience in the database administration. Monitor, maintain database systems and troubleshoot problems that may arise. |Today|3.2
Cassandra Database Administrator|Cloud Source Systems|Buffalo, NY 14207 (Riverside Park area)|$50 - $55 an hour|Understanding of database best practices and the ability to promote those best practices in the organization. Analyze data access patterns and identify hotspots… |1 day ago|Missing
Vice President, Senior Database Administrator|Publicis Media|New York, NY 10014 (SoHo area)|Missing|Troubleshoot database issues, identify root causes, and implement optimal solutions. Advanced database administration and development including stored… |1 day ago|3.3
Database Analyst|NYU Langone|New York, NY|Missing|Knowledge of database and data software technologies. Work with Sr Data Analyst on testing in development database systems. Perform system backups and recovery. |2 days ago|4.1
Database Analyst|NYU Langone Health|New York, NY 10016 (Gramercy area)|Missing|Knowledge of database and data software technologies. Work with Sr Data Analyst on testing in development database systems. Perform system backups and recovery. |2 days ago|4.1
Project Manager - DBA|Links Technology Solutions Inc|Tarrytown, NY 10591|Missing|This role will drive the planning and execution of medium and large-scale IT projects, enabling stakeholder teams to make fast and informed decisions, improving… |5 days ago|Missing
ORACLE AND INFORMIX DATABASE ADMINISTRATOR|HRA/DEPT OF SOCIAL SERVICES|Brooklyn, NY|$75,000 - $124,000 a year|Set up database user accounts; train users on how to access database information. Gather statistics on database usage. Optimal performance and response time. |5 days ago|3.9
Database Administrator/Engineer - Enterprise Trading Network I0I (Contractor)|Bloomberg|New York, NY|Missing|Experience designing and tuning enterprise database solutions. We constantly update our infrastructure, to offer the best possible experience to our clients and… |6 days ago|3.9
VDC Fabrication Specialist - Database Administrator|Microdesk|New York, NY 10001 (Chelsea area)|Missing|Microdesk combines technology and business process consulting to help firms successfully plan, design, build and operate land and buildings. |6 days ago|3.4
Database Administrator|Rapid Response Monitoring|Syracuse, NY 13204 (Lakefront area)|Missing|Conduct root cause analysis within a ticketing system and incident response forms on critical database events. 3+ years of Microsoft SQL Server DBA experience. |11 days ago|4.2
Database Administrator|Air National Guard|Syracuse, NY 13215|$40,000 - $65,000 a year|(Receive up to a $30,000 Sign on Bonus). You will receive Job Security, Free/Low Cost Medical & Dental Care, 100% Tuition Assistance, and many more… |7 days ago|4.5
Freelance Database Administrator - short-term|Boys' Club of New York|Lower East Side, NY|$35 - $40 an hour|Experience managing a development or CRM database. BCNY seeks a temporary freelance Database Administrator to coordinate department functions including database… |8 days ago|4.1
Database Administrator (URGENT)|Black Systems LLC|Albany, NY (Central Avenue area)|$41 - $42 an hour|Oracle database: 7 years (Preferred). 84 months experience in architecting, designing and implementing Oracle data marts and data warehouses. |13 days ago|Missing
SQL Server Database Administrator|MetroPlus Health Plan|New York, NY 10038 (Financial District area)|$104,306 a year|Provides database development/project support in compliance with database design standards. Must be a hands-on, technically adept DBA, capable of performing… |7 days ago|3.0
SQL Database Administrator|ClosingCorp|San Diego, CA 92108 (Mission Valley East area)|Missing|Monitor database performance and run database utilities to maintain optimum performance. Manage and monitor database security and end-user access to database… |Just posted|3.8
SQL Server Developer/ DBA|Matrix Precise, Inc.|Berkeley, CA|Missing|Solve database usage issues and malfunctions. Ensure all database programs meet company and performance requirements. Optimize and maintain legacy systems. |Just posted|Missing
Database Administrator|Axos Bank|San Diego, CA 92122 (University City area)|Missing|3+ years' experience in database development. 1+ year's experience with database administration. Diagnose and resolve database access and performance issues. |Today|3.0
Database Admin Assistant (Compliance)|Mammoth Distribution|North Hollywood, CA|Missing|The role requires you to provide strong office and compliance oversight to our distribution team to ensure orders are properly processed without errors and… |Today|3.3
GIS, Mapping, and Drawing Administrator (7304U) 16824|University of California Berkeley|Berkeley, CA 94720|$75,400 - $110,800 a year|Knowledge of spatial, relational database structure and management practices. Proficient in GIS database planning, design, and implementation. |Today|4.2
(Senior/Staff) Database Administrator|Okta|California|Missing|Ensure effective performance and 24X7 availability of the production database systems. Monitor security and database operation related alerts, take preventive… |Today|3.8
Clinical Research Database Analyst|UC San Diego|San Diego, CA|Missing|The CTRI provides investigators with Clinical Research Management Systems to support clinical research studies including clinical trials, biospecimen… |Today|4.2
Sr Database Administrator|Bank of Hope|Gardena, CA 90247|Missing|7+ years of database administration experience with the knowledge and ability to perform all the basic database management skills of database administration. |1 day ago|2.9
Research & Database Assistant|UCLA Health|Los Angeles, CA 90001|Missing|Improvement projects and gather data for our STS database. Under the general supervision of the Director of Informatics, you will provide support on research… |1 day ago|4.0
Donor Database Specialist|Ventura Botanical Gardens|Ventura, CA 93001|$17 - $22 an hour|Maintain SOPs related to donor database maintenance and policies. Maintain administrative aspects of the Garden donor program through CRM database to support… |1 day ago|Missing
Database Management Specialist|Girl Scouts Of Greater Los Angeles|Los Angeles, CA 90015 (Downtown area)|Missing|Relatable skills and knowledge that ensure successful ownership of a customer relationship management database. Prefer some experience with Raisers Edge. |1 day ago|4.0
SQL/SSIS/SSRS DBA & Developer|Excel Modular Scaffold & Leasing Corporation|Vista, CA 92081|$35 - $60 an hour|Excel Modular Scaffold is seeking a highly motivated individual with expertise in all things SQL server and BI development. Minimum required: 40 hours a week. |1 day ago|Missing
RDBMS Architect/ Data Architect/ Data base architect|ACESTACK LLC|Palo Alto, CA|$70 an hour|Develop a data (or database) change request process with the developer and Data Resource Management teams. Data architect or Data base architect who worked on… |1 day ago|Missing
Database Administrator|Boost CTR|San Francisco, CA 94102 (Downtown area)|Missing|Experience in troubleshooting and resolving database problems. Experience with other relational and NoSQL database technologies a big plus. |2 days ago|Missing
Sr. Database Engineer (DBE)|New Directions Technologies, Inc.|Port Hueneme, CA|Missing|Responsible for database administration, settings and management tasks related to a database to include maintenance, optimization, recovery, etc. |2 days ago|Missing
Database Administrator|Robert Half|Houston, TX|$90,000 - $125,000 a year|Robert Half Direct is looking for a database administrator to join an established and successful software company. |Today|3.9
Database Administrator-REMOTE|CCI Systems, Inc.|Dallas, TX 75201|Missing|We are seeking a Database Administrator to learn and understand current systems, architectures, integrations, and technologies and how they interact within the… |Today|3.3
Database Administrator|Geotech Engineering and Testing|Humble, TX 77396|$12 - $14 an hour|The Database Secretary position is an hourly position with benefits and yearly evaluations after a 90 day probation period. Answers Phones for each department. |1 day ago|2.9
Database Administrator|Radiology Assocs, LLP|Corpus Christi, TX|Missing|2+ years experience with SQL Server database development and management. Database Development: Installation, design, development, testing and implementation of… |1 day ago|Missing
DB2 Database Administrator|Fidelity Investments|Westlake, TX 76262|Missing|Working knowledge of Db2 database management tools - CA Database Tools. Provide database support in all phases of SDLC and agile experience is preferred. |1 day ago|4.1
Oracle Database Administrator (Software Systems Specialist III) - Galveston|Univ. of Texas Medical Branch|Galveston, TX|Missing|Use database and coding knowledge to create database storage structures,. Provide maintenance support for database systems. Alter Database Structures as Needed. |1 day ago|Missing
Database Administrator|ManTech International Corporation|El Paso, TX|Missing|Evaluating and maintaining available database management system (DBMS) products. Designing and maintaining the integrity, security and availability of multiple… |1 day ago|3.9
IBM Linux on Z/LinuxONE Oracle Database Specialist - NA Lab Services|IBM|Austin, TX 73301 (St Edwards area)|Missing|To think along with clients and sell. Expert consultative knowledge on a wide array of Oracle based technologies. Size and scope services engagements. |1 day ago|3.9
Database Developer/Administrator|Primary Talent Partners|Plano, TX|$110,000 - $125,000 a year|Experience in SQL database administration, including configuration and monitoring. We are currently looking to help a great client fill a full time need for a… |2 days ago|Missing
Senior Database Administrator/SNOW Integrator|Salient CRGT, Inc|San Antonio, TX 78249|Missing|The ideal candidate will be responsible for developing databases to support the SharePoint site(s) for certificate requests. |2 days ago|3.3
DBA Expert / Data Architect|Performance Softech Solutions Inc.|Austin, TX|Missing|We are looking for a DBA Expert /Data Architect who can help assess and review data migration approaches from a single tenant to multi-tenant environment. |2 days ago|Missing
Database Tester|IntegrateUs Services|Austin, TX|$40 - $55 an hour|The Database Tester (QA Analyst) will perform advanced analysis and testing of computer programming work involving all technical aspects of supporting,… |3 days ago|Missing
Database Lead Admin / SQL Server DBA|Goldbelt, Inc.|San Antonio, TX|Missing|2+ years database management experience mentoring database analysts, SQL Server DBAs, or related database analyst requirements. |3 days ago|3.2
Database Admin / SQL Server DBA|Goldbelt, Inc.|San Antonio, TX|Missing|Set and maintain database standards; manage database access.; conduct performance tuning of database systems. Install, upgrade, and manage database applications… |3 days ago|3.2
Senior Associate, Oracle Database Administrator|KPMG|Dallas, TX|Missing|Participate in all aspects of the lifecycle for database environments and in the implementation of application requested database code and configuration changes… |4 days ago|4.0
Database Administrator II|Premera Blue Cross|Mountlake Terrace, WA|Missing|Analyze business requirements and design database solutions. Manage highly reliable, high performance database processing environments. |Today|3.5
Entry Level Back End Developer / DB Admin|Blue K|Spokane Valley, WA 99212|$51,000 - $76,000 a year|This position will require training and personal development to start. You will be learning how to program in Pick Basic, management of multiple MultiValue… |1 day ago|Missing
TC/DATABASE ANALYST|Tulalip Resort Casino|Tulalip, WA 98271|$25.15 an hour|Facilitate database solutions for TGO users and network systems. Ability to build an accurate database query report using SQL. PAY RATE: $25.15 per hour. |1 day ago|3.8
NoSQL Database Engineer/Architect|Softvision|Seattle, WA|Missing|5+ years of database/admin experience. At least 1-2 years of Couchbase (or relevant database) DBA hands on including EKS. |1 day ago|3.7
NoSQL Database Engineer/Architect|Softvision - North America|Seattle, WA 98101 (Downtown area)|Missing|5+ years of database/admin experience. At least 1-2 years of Couchbase (or relevant database) DBA hands on including EKS. |2 days ago|Missing
Sr. Oracle Database Administrator|Blue Nile|Seattle, WA 98104|Missing|Excellent database modeling, database tuning, SQL query tuning, and PL/SQL coding skills. Collaborate closely with our development teams to optimize their use… |5 days ago|3.1
VDC Fabrication Specialist - Database Administrator|Microdesk|Seattle, WA 98104|Missing|Microdesk combines technology and business process consulting to help firms successfully plan, design, build and operate land and buildings. |6 days ago|3.4
Integration Engineer/DBA|Ericsson|Bellevue, WA 98004 (Downtown area)|Missing|You will define and delivery database solutions. Monitor and manage database indexes for optimal performance. Reviews database design and integration of systems… |6 days ago|4.1
Development Analyst - Database Administrator (DBA)|Frontier Behavioral Health|Spokane, WA 99202 (East Central area)|Missing|Respond to database performance issues; assist developers in improving the performance of that query by adjusting queries or modifying indexes. |13 days ago|3.0
GIS Database Administrator|City of Seattle|Seattle, WA|$48.49 - $72.74 an hour|Performing spatial data and database administration. There is a trend toward adopting real-time data updates as an alternative to batch processes, and the GIS… |13 days ago|3.8
Remote Development Analyst DBA|Volt Workforce Solutions|Spokane, WA|Missing|Responsible for system database security for client's EMR. Develop and maintain procedures and automation tools that optimize database performance. |13 days ago|3.7
Philanthropy Database Coordinator|Friends of Waterfront Seattle|Seattle, WA 98101 (Downtown area)|$60,000 - $70,000 a year|3 years of fundraising or database management is preferred. Assisting in long- and short-range planning and management of the Salesforce database. |12 days ago|Missing
Payment and Database Specialist|The Puyallup Tribe of Indians|Tacoma, WA 98404 (Eastside-ENACT area)|Missing|Filing, database management/input and court filings. Hours: 40 Hrs/Week - Full Time. The Puyallup Tribe of Indians provides a generous benefits package that… |16 days ago|Missing
Database Administrator|Williston Financial Group|Seattle, WA|Missing|Monitor and maintain database maintenance plans for backups, index rebuild/defrag and database statistics. Monitor and maintain database storage. |30+ days ago|3.1
Database Specialist - Fundraising (Full-time), Seattle, WA|Planned Parenthood GNHI|Washington State|$21.30 - $28.94 an hour|Manages donor records and the donor database. Participates in national database assessment, rating, and benchmarking efforts. FLSA JOB STATUS: Non-Exempt. |30+ days ago|3.7
Principal Software Engineer|Cross Screen Media|Alexandria, VA|Missing|This candidate will take responsibility for the technical architecture of our product, ScreenSolve, encompassing front end and back end of the web application,… |Just posted|4.0
Software Development Engineer - IMDb TV Growth|Amazon.com Services LLC|Arlington, VA|Missing|2+ years of non-internship professional software development experience. Programming experience with at least one modern language such as Java, C++, or C#… |Just posted|3.6
Data Scientist - Junior|Shine Systems|Chantilly, VA 20151|Missing|Assists Expert engineers and the Government in requirements efforts, projects and campaigns aligned to the IC ACC Framework leveraging the IC/ACCs unique… |Today|3.6
Mid-level C# / .NET Software Engineer|Alarm.com|Tysons, VA|Missing|This position is ideal for the candidate who seeks a small, friendly company culture where one can work closely with smart and highly productive people. |Today|4.0
Systems Engineer - Expert (TS/SCI)|Shine Systems|Fort Belvoir, VA 22060|Missing|Expert Systems Engineers assist in leading engineering teams in taking a multi-discipline approach to requirements engineering, solutions engineering,… |Today|3.6
DevSecOps Architect|The Consortium, Inc.|Reston, VA 20190|Missing|Software engineer with a speciality in coding for security. Foster, and build a community of practice for collective learning of the security tools, practices… |Today|Missing
Android Mobile Architect|Alarm.com|Tysons, VA|Missing|Ability to lead and mentor a group of engineers. Alarm.com is looking for a versatile Android Architect to work on our consumer and dealer Android Applications,… |Today|4.0
Software Development Product Owner|Novetta|McLean, VA|Missing|8 years experience leading software engineering teams, including mentoring and coaching junior engineers. As a Software Development Product Owner, you will be… |Today|3.5
Mechanical Engineer|UNADYN|Fredericksburg, VA 22408|Missing|Performs hand-on laboratory work including machine assembly & testing and customer material tests. Primary duty requires knowledge of an advance type in a field… |Today|Missing
Principal Product Manager–Tech, Machine Learning|Amazon.com Services LLC|Arlington, VA|Missing|10+ years engineering, machine learning, product management, or relevant working experience. Diving into technical details, and evaluating trade-off decisions … |Today|3.6
Data Engineer - Top Secret Clearance|Deloitte|Arlington, VA|Missing|Knowledge of data mining, machine learning, data visualization and statistical modeling. Data Engineer role includes responsibilities such as creating and… |Today|4.0
Director of Business Intelligence Analytics|Pearson|Richmond, VA|Missing|Experience with machine learning concepts such as predictive modeling, categorization, and clustering. 10 years of experience in a technical data role, such as… |Today|3.7
Software Engineer (Verification Services)|National Student Clearinghouse|Herndon, VA 20171|Missing|Use of a copy machine and telephone. We are seeking a Java full stack developer that is willing and able to learn other technologies, new, existing, and old. |Today|3.4
Automation Engineer|Krashlando|McLean, VA 22101|Missing|In addition to tool development, the candidate will have the opportunity to develop machine learning and artificial intelligence skills through close… |Today|Missing
Senior Electrical Engineer|ENSCO, Inc.|Springfield, VA 22151|Missing|We use the latest technology in our work, including artificial intelligence, machine learning, data science, high performance computing, digital signal… |Today|4.2
Applied Scientist, Machine Learning (BK or SF)|Etsy|Brooklyn, NY 11201|Missing|You have a track record of applying machine learning techniques in addressing real-world problems. Push the state of the art and apply the latest advances in… |Just posted|4.3
Data Scientist|Innovyt|New York, NY|$65 - $70 an hour|Machine learning: 1 year (Required). REMOTE (New York, NY Position)*. Collating data sets for ML experiments. ML model understanding and maintenance. |Just posted|Missing
Software Development Manager|Amazon Dev Center U.S., Inc.|New York, NY|Missing|Build, manage, and develop a world-class team of backend and frontend engineers to tackle a wide array of technical challenges. |Just posted|3.6
Platform Services Manager - Opportunity for Working Remotely New York, NY|VMware|New York, NY|Missing|You have previous people management experience with proven ability to motivate and coach diverse teams to optimize performance. Full Time/ Part Time: Full Time. |Just posted|4.0
Research Intern, Applied Research|Facebook|New York, NY 10003 (Flatiron District area)|Missing|Experience building systems based on machine learning, reinforcement learning and/or deep learning methods. Our efforts are to push the bar in three directions:… |Today|4.2
Software Engineer (Research)|GRAMMATECH|Ithaca, NY 14850|Missing|GrammaTech is looking for software engineers at varying levels of experience to perform advanced software development. Knowledge of other languages is a plus. |Today|Missing
Associate Research Scientist, Neural Circuits and Algorithms|Simons Foundation|New York, NY 10010 (Flatiron District area)|Missing|This cross-disciplinary approach not only leads to the design of new model-driven scientific experiments, but also encapsulates current functional descriptions… |Today|3.9
Equity Trading Software Engineer|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Are passionate technologists who care about the code they engineer the quality and elegance of the solutions they build. Have excellent knowledge of core Java. |Today|3.9
Data Engineer II|FairyGodBoss|New York, NY|Missing|We’re looking for a data engineer who wants to improve our data platform and make sure the right stakeholders have access to the data they need. |Today|Missing
Senior Applied Research Engineer|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Strong knowledge of Machine Learning foundations and techniques covering machine learning frameworks & platforms e.g. Scikit-learn, TensorFlow, Keras, Mxnet,… |Today|3.9
Software Engineer, Android|Current|New York, NY|Missing|You will be working closely with our product and design teams to build our consumer mobile experience. Experience building complex applications for the Android… |Today|3.7
Technical Product Manager|Ayasdi|New York, NY 10003 (Greenwich Village area)|Missing|You will have a proven track record of building successful commercial products with a focus on data analytics, machine learning and visualization. |Today|2.3
Director of Product, Marketplace (Personalization, Fraud and Revenue) - (Re|DISQO|United States|Missing|Experience working with Data Science teams and deploying machine learning models to production. The team's machine learning engineers, data scientists, and PMs… |Today|Missing
Software Development Engineer - ML|Amazon.com Services LLC|New York, NY|Missing|Experience in building large-scale machine-learning / deep learning infrastructure for online recommendation, ads ranking, advertising personalization, or… |Today|3.6
Software Engineer|RailComm|Fairport, NY 14450|$73,025 - $89,253 a year| Experience with analytics and machine learning is a plus.  Work closely with the Quality Assurance team to ensure robust, reliable, and safe software. |Today|Missing
Machine Learning Engineer - Safety Product|Twitch Interactive, Inc.|San Francisco, CA|Missing|Build distributed services to power machine learning solutions. Work on event-driven data flows to evolve machine learning applications. |Just posted|3.6
Data Engineer, Marketing Measurement|Amazon.com Services LLC|Santa Monica, CA|Missing|You will work closely with engineers and scientists contributing to the ongoing development and evolution of the underlying machine learning systems and… |Just posted|3.6
Mechanical Engineer|SMP Engineering|Glendale, CA|Missing|Make things work. use our modern, fully equipped machine shop to utilize your hands-on experience to build and assemble prototypes and mock-ups. |Just posted|4.0
Traffic Software Engineer|ADAPT Technology LLC.|Mountain View, CA 94043|$65.00 - $82.50 an hour|Machine learning, deep learning, reinforcement learning, etc: 2 years (Preferred). (Optional) Experience in some or many of the following areas: machine… |Just posted|Missing
Bioinformatics Software Engineer|BioDiscovery Inc|El Segundo, CA|Missing|BioDiscovery engineers work on problems at the intersection of biology, computer science and machine learning. Experience in Scala would be a strong plus. |Just posted|Missing
Sr. ML Ops Engineer|Sense Talent Labs, Inc.|San Francisco, CA|Missing|In this role, you’ll work at the intersection of Machine Learning, DevOps and Data Engineering, and you’ll be responsible for deploying and maintaining ML… |Just posted|Missing
Senior Ruby on Rails Developer|CyberCoders|Los Angeles, CA 90001|$100,000 - $150,000 a year|We are tackling complex and interesting technical challenges every day. Some of our current challenges include using Geographic Information Services (GIS), Big… |Just posted|3.3
Traffic Software Engineer|Segula Technologies|Mountain View, CA|Missing|(Optional) Experience in some or many of the following areas: machine learning, deep learning, reinforcement learning, etc. |Just posted|3.1
Software Engineer III – Backend & Services|Walmart|Sunnyvale, CA 94086 (West Murphy area)|Missing|Strong inclination towards exploring and learning new technologies. We build smart data systems that ingest, model, analyze and optimize the massive flow of… |Just posted|3.5
Network Engineer II|Astreya|San Jose, CA|Missing|Have a full understanding of routing, switching, server operating systems, active directory, firewalls, wireless controllers, DNS, email, virtual machines and… |Just posted|2.8
AI/ML- Engineering Manager, Data Platform Siri Search, Knowledge & Platform|Apple|Santa Clara, CA|Missing|Excellent verbal and written communication skills, able to collaborate cross-functionally with data science, machine learning, data platform and analytics teams… |Just posted|4.2
Senior Software Engineer – Frontend & Full Stack|Walmart|Sunnyvale, CA 94086 (West Murphy area)|Missing|We build smart data systems that ingest, model, analyze and optimize the massive flow of data from online and store user activity and transactions. |Just posted|3.5
Platform Services Manager - Opportunity for Working Remotely Palo Alto, CA|VMware|Palo Alto, CA|Missing|You have previous people management experience with proven ability to motivate and coach diverse teams to optimize performance. Full Time/ Part Time: Full Time. |Just posted|4.0
Senior Enterprise Cloud Architect|KORNFERRY|California|Missing|Drive innovation in emerging technology practices that support big data aggregation, analysis, visualization, machine learning and associated data science and… |Just posted|3.5
Lead Machine Learning Engineer|Wurl, Inc|California|Missing|Contribute in a leadership position to Wurl's data analytics and machine learning initiatives. Wurl is seeking an experienced, detail-oriented data scientist… |Today|Missing
Platform Services Manager - Opportunity for Working Remotely Dallas, TX|VMware|Dallas, TX|Missing|You have previous people management experience with proven ability to motivate and coach diverse teams to optimize performance. Full Time/ Part Time: Full Time. |Just posted|4.0
Machine Learning Framework Software Development Engineer - 89623|Advanced Micro Devices, Inc.|Austin, TX|Missing|Optimize the entire deep learning pipeline. Become part of an AMD development team and open source community to analyze, develop, test and deploy improvements… |Today|3.8
Infrastructure Engineer (Neuron)|CDK Global|Austin, TX 78703|Missing|You’ll help design and build our enterprise-scale SaaS infrastructure to stay ahead of our growing usage, planning for scalability, high availability, and low… |Today|3.2
Computer Vision Engineer|Hired Recruiters|Austin, TX|Missing|Architect and build a pipeline to intelligently extract 3D scene data from sequences of panoramic images, using a mix of geometric and deep learning approaches. |Today|Missing
Research Scientist Intern|Spectral MD|Dallas, TX 75201 (Oak Lawn area)|$15 an hour|Manage and analyze optical imaging data using machine learning, AI, and optical methods. Collaborate with a fast-moving, multidisciplinary team of research and… |Today|Missing
Software Engineer|Trelly Group|Dallas, TX|Missing|As a software engineer, you will exercise a high amount of independence on tasks such as designing server-client interfaces, architecting learning algorithms,… |Today|Missing
Sr Software Engineer - UI Developer|Southwest Airlines Co.|Dallas, TX 75235 (Love Field Area area)|Missing|Develops, tests and operates end-to-end software solutions using machine learning, related optimization, and knowledge systems. High School Diploma or GED. |Today|4.3
Senior Big Data Software Engineer|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|BS/BA degree or equivalent experience. Advanced knowledge of application, data, and infrastructure architecture disciplines. |Today|3.9
Cloud/Python Software Engineer - Athena Quant Engineering|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|Morgan developed platform OmniAI which uses AWS SageMaker to build machine learning models. In this team you will work with Quantitative Researchers to… |Today|3.9
Security Engineer, Identity - Governance & Administration|Hired Recruiters|Austin, TX|Missing|This security engineer will be part of a global team of experienced engineers; designing, developing and supporting enterprise security solutions in the… |Today|Missing
Software Engineering|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|This includes design, analysis, development, coding, testing and documentation. You will partner closely with business partners and the broader technology team. |Today|3.9
PhD Recruiting Lead, Software Engineering and Core Data Science|Facebook|Austin, TX (Downtown area)|Missing|The position is full-time. Lead a team of recruiters responsible for Machine Learning, Systems/Infra, and Core Data Science hiring — including development of… |Today|4.2
Director of Product, Marketplace (Personalization, Fraud and Revenue) - (Re|DISQO|United States|Missing|Experience working with Data Science teams and deploying machine learning models to production. The team's machine learning engineers, data scientists, and PMs… |Today|Missing
Technical Support Engineer 2|Dell Technologies|Round Rock, TX|Missing|Take ownership of technically complex customer reported issues from web, phone, chat and email sources and work closely with the customer until it is completely… |Today|4.0
Data Engineer|DISCO|Austin, TX|Missing|Strong understanding of machine learning methods, especially deep learning for NLP. Conceptual knowledge of machine learning techniques and workflows. |Today|Missing
Machine Learning Engineer II|Amazon.com Services LLC|Seattle, WA|Missing|Experience building large-scale machine-learning models. Experience with machine learning, data mining, and/or statistical analysis tools. |Just posted|3.6
Support Engineer - Enterprise Secure Certificates|Amazon Dev Center U.S., Inc.|Seattle, WA|Missing|Detect patterns and partner with development engineers to reduce defects and make the team's software easier to use. Be the customer's advocate. |Just posted|3.6
Business Intelligence Engineer - Customer Packaging Experience|Amazon.com Services LLC|Seattle, WA|Missing|Knowledge of various machine learning techniques and key parameters that affect their performance. The Customer Packaging Experience (CPEX) team is looking for… |Just posted|3.6
Security Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We will need to tackle problems that span a variety of domains: computer vision, image recognition, machine learning, real-time and distributed systems. |Just posted|3.6
Software Development Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We build advanced systems to detect and prevent prohibited transactions with the denied parties using advanced set of algorithms and machine learning (ML)… |Just posted|3.6
Embedded Software Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We need people who want to join a high-reaching program that continues to collaborate and push the state of the art in computer vision, machine learning,… |Just posted|3.6
Quality Assurance Manager|Amazon.com Services LLC|Seattle, WA|Missing|Familiarity with AWS tools for data processing, machine learning and visualization. 3+ years of experience managing Quality Assurance Teams. |Just posted|3.6
AI/ML - Data Infrastructure Solr/Search Engineer, Siri Search & Knowledge Platform|Apple|Seattle, WA|Missing|You will be responsible for the Search Infrastructure that powers the Siri Data teams for analytics and machine learning. Experience with AWS is a big plus. |Just posted|4.2
Software Development Engineer (Full Stack)|Amazon.com Services LLC|Seattle, WA|Missing|2+ years of non-internship professional software development experience. Programming experience with at least one modern language such as Java, C++, or C#… |Just posted|3.6
